scope 	key	en-US	de-DE	zh-HANS	nl-NL 	ja-JP	ko-KR	pl-PL
Options.SECTION	[ColorAdjustments]	ColorAdjustments	ColorAdjustments	ColorAdjustments	ColorAdjustments	ColorAdjustments	ColorAdjustments	ColorAdjustments
Options.OPTION	PostExposure	Post Exposure	Belichtungsnachstellung	曝光	Belichtingscorrectie	露光補正	노출 보정	Ekspozycja
Options.OPTION_DESCRIPTION	PostExposure	Adjusts the brightness of the image just before color grading, in EV.	Passt die Helligkeit des Bildes kurz vor der Farbkorrektur in EV an.	在颜色分级之前，按EV调整图像的亮度。	Past de helderheid van de afbeelding aan vlak voor de kleurcorrectie, in EV.	カラーグレーディングの直前に画像の明るさをEVで調整します。	색상 그레이딩 직전에 이미지의 밝기를 EV 단위로 조정합니다.	Dostosowuje jasność obrazu tuż przed korektą kolorów, w jednostkach EV.
Options.OPTION	Contrast	Contrast	Kontrast	对比度	Contrast	コントラスト	대비	Kontrast
Options.OPTION_DESCRIPTION	Contrast	Controls the overall range of the tonal values.	Steuert den Gesamtbereich der Tonwerte.	控制色调值的整体范围。	Regelt het algehele bereik van de toonwaarden.	トーンの値の全体的な範囲を制御します。	톤값의 전체 범위를 제어합니다.	Kontroluje ogólny zakres wartości tonalnych.
Options.OPTION	HueShift	Hue Shift	Farbtonverschiebung	色调偏移	Hue Shift	色相シフト	색상 이동	Przesunięcie odcienia
Options.OPTION_DESCRIPTION	HueShift	Controls the hue of all colors in the render.	Steuert den Farbton aller Farben in der Darstellung.	控制渲染中所有颜色的色调。	Regelt de tint van alle kleuren in de weergave.	レンダリング内のすべての色の色相を制御します。	렌더링의 모든 색상의 색조를 제어합니다.	Kontroluje odcień wszystkich kolorów na renderze.
Options.OPTION	Saturation	Saturation	Sättigung	饱和度	Verzadiging	彩度	채도	Nasycenie
Options.OPTION_DESCRIPTION	Saturation	Controls the intensity of all colors in the render.	Steuert die Intensität aller Farben in der Darstellung.	控制渲染中所有颜色的强度。	Regelt de intensiteit van alle kleuren in de weergave.	レンダリング内のすべての色の強度を制御します。	렌더링의 모든 색상의 강도를 제어합니다.	Kontroluje intensywność wszystkich kolorów na renderze.
Options.WARNING	ResetModSettings	Do you wish to reset all settings? This action can’t be undone.	Möchten Sie alle Einstellungen zurücksetzen? Diese Aktion kann nicht rückgängig gemacht werden.	是否要重置所有设置？此操作无法撤销。	Wilt u alle instellingen resetten? Deze actie kan niet ongedaan worden gemaakt.	すべての設定をリセットしますか？このアクションは元に戻すことができません。	모든 설정을 재설정하시겠습니까? 이 작업은 취소할 수 없습니다.	Czy chcesz zresetować wszystkie ustawienia? Ta operacja nie może zostać cofnięta.
Options.OPTION	ResetModSettings	RESET ALL	ALLE ZURÜCKSETZEN	全部重置	ALLES RESETTEN	すべてリセット	모두 재설정	ZRESETUJ WSZYSTKO
Options.OPTION_DESCRIPTION	ResetModSettings	Resets all ColorAdjustments Mod settings to default.	Setzt alle Einstellungen für die Farbanpassung auf die Standardeinstellungen zurück.	将所有ColorAdjustments Mod设置重置为默认值。	Herstelt alle ColorAdjustments Mod-instellingen naar de standaardwaarden.	すべてのColorAdjustments Mod設定をデフォルトにリセットします。	모든 ColorAdjustments Mod 설정을 기본값으로 재설정합니다.	Przywraca wszystkie ustawienia modułu ColorAdjustments do domyślnych.
Options.OPTION	OpenLocationButton	IMPORT YOUR OWN	EIGENE IMPORTIEREN	导入您自己的	UW EIGEN IMPORTEREN	あなた自身のものをインポート	자체 가져오기	IMPORTUJ SWOJE
Options.OPTION_DESCRIPTION	OpenLocationButton	Opens the ColorAdjustments.xml file to import/export your settings.	Öffnet die Datei ColorAdjustments.xml, um Ihre Einstellungen zu importieren/exportieren.	打开ColorAdjustments.xml文件以导入/导出您的设置。	Opent het ColorAdjustments.xml-bestand om uw instellingen te importeren/exporteren.	ColorAdjustments.xmlファイルを開いて設定をインポート/エクスポートします。	ColorAdjustments.xml 파일을 열어 설정을 가져오거나 내보냅니다.	Otwiera plik ColorAdjustments.xml do importowania/eksportowania ustawień.
Options.OPTION	Support	Support	Support	支持	Ondersteuning	サポート	지원	Wsparcie
Options.OPTION_DESCRIPTION	Support	Opens the support discord server for troubleshooting.	Öffnet den Support-Discord-Server für Fehlerbehebung.	打开支持的Discord服务器进行故障排除。	Opent de ondersteunings-Discord-server voor probleemoplossing.	トラブルシューティングのためのサポートDiscordサーバーを開きます。	문제 해결을 위한 지원 Discord 서버를 엽니다.	Otwiera serwer wsparcia Discord do rozwiązywania problemów.
